Model,Sensitivity,Specificity,F1,AUC,TP,FP,FN,TN
Model 1,0.5789473684210527,0.9875930521091811,0.55,0.8964999347002742,11,10,8,796
Model 2,0.7368421052631579,0.9640198511166254,0.45161290322580644,0.9197466370641243,14,29,5,777
Model 3,0.6842105263157895,0.9714640198511166,0.4727272727272727,0.9323494841321667,13,23,6,783
Model 4,0.5789473684210527,0.9727047146401985,0.4230769230769231,0.9099516782029515,11,22,8,784
Model 5,0.7368421052631579,0.9764267990074442,0.5384615384615384,0.9308475904401201,14,19,5,787
Average Ensemble,0.7368421052631579,0.9776674937965261,0.5490196078431373,0.9282356014104741,14,18,5,788
